Ticker,Price,Last_Updated_UTC
AAPL,231.58999633789062,2025-08-18 05:11:20
AMZN,231.02999877929688,2025-08-18 05:11:20
GOOGL,203.89999389648438,2025-08-18 05:11:20
MSFT,520.1699829101562,2025-08-18 05:11:20
TSLA,330.55999755859375,2025-08-18 05:11:20
